order_item_id,order_id,product_id,quantity,unit_price
1,1,11,1,799.0
2,2,8,3,1710.0
3,3,9,2,5500.0
4,4,10,1,1575.0
5,5,13,2,1499.0
6,6,29,2,599.0
7,7,13,1,1499.0
8,8,9,1,5500.0
9,9,16,1,2499.0
10,9,14,2,1709.05
11,9,19,1,1519.05
12,10,3,2,32000.0
13,11,29,2,569.05
14,12,22,2,4999.0
15,13,22,3,4999.0
16,13,7,1,7350.0
17,14,28,1,854.05
18,14,16,2,2499.0
19,14,12,1,1999.0
20,15,19,1,1678.95
21,15,20,1,1234.05
22,16,21,1,943.95
23,17,12,2,1899.05
24,17,30,1,999.0
25,18,23,1,699.0
26,18,11,3,799.0
27,19,13,2,1424.05
28,20,7,1,6650.0
29,20,18,2,1048.95
30,21,11,1,838.95
31,22,26,1,838.95
32,22,5,3,3500.0
33,23,11,1,799.0
34,23,5,1,3500.0
35,23,3,1,32000.0
36,24,27,3,699.0
37,25,30,2,1048.95
38,25,29,2,599.0
39,26,16,2,2499.0
40,26,11,3,799.0
41,27,30,1,999.0
42,28,2,2,52000.0
43,29,23,1,664.05
44,30,9,1,5775.0
45,31,29,3,599.0
46,31,15,3,3148.95
47,32,30,3,999.0
48,33,27,2,699.0
49,33,24,1,1048.95
50,33,30,1,1048.95
51,34,5,1,3500.0
52,35,3,1,33600.0
53,36,9,1,5500.0
54,37,28,1,943.95
55,38,16,3,2499.0
56,39,11,3,838.95
57,39,9,1,5500.0
58,40,24,2,999.0
59,41,8,1,1800.0
60,41,1,3,61750.0
61,42,28,1,943.95
62,43,13,2,1573.95
63,44,11,2,799.0
64,44,26,2,759.05
65,44,4,1,20900.0
66,45,15,2,3148.95
67,46,4,1,22000.0
68,47,25,2,3799.05
69,47,18,2,999.0
70,48,5,3,3500.0
71,48,6,3,4725.0
72,48,22,2,5248.95
73,49,10,2,1500.0
74,49,2,2,49400.0
75,50,30,1,1048.95
76,51,18,2,999.0
77,52,17,2,1299.0
78,52,2,3,54600.0
79,53,10,3,1575.0
80,54,13,1,1424.05
81,54,12,1,1899.05
82,55,13,1,1573.95
83,56,25,3,3999.0
84,56,19,1,1599.0
85,57,6,3,4500.0
86,58,4,3,23100.0
87,59,5,1,3675.0
88,59,13,2,1499.0
89,60,1,3,65000.0
90,61,10,1,1575.0
91,62,28,2,943.95
92,62,10,1,1575.0
93,63,8,1,1800.0
94,63,25,1,4198.95
95,63,22,3,4749.05
96,64,24,3,999.0
97,64,5,3,3500.0
98,65,29,1,569.05
99,66,16,2,2374.05
100,66,10,1,1425.0
101,67,26,2,838.95
102,67,7,2,7350.0
103,68,4,2,23100.0
104,68,14,1,1888.95
105,68,23,2,664.05
106,69,6,1,4500.0
107,69,2,3,49400.0
108,69,23,1,664.05
109,70,15,2,2999.0
110,70,30,2,1048.95
111,71,5,1,3500.0
112,72,10,2,1575.0
113,72,23,1,699.0
114,72,14,1,1799.0
115,73,12,2,1999.0
116,74,9,2,5225.0
117,75,26,2,799.0
118,76,14,3,1888.95
119,76,26,1,799.0
120,77,19,1,1599.0
121,77,16,1,2499.0
122,78,2,3,52000.0
123,79,13,2,1424.05
124,79,5,2,3325.0
125,80,7,1,7000.0
126,80,17,2,1299.0
127,81,20,1,1363.95
128,81,10,1,1500.0
129,82,5,3,3325.0
130,82,27,2,664.05
131,83,21,1,943.95
132,84,23,1,664.05
133,84,14,2,1709.05
134,85,23,2,664.05
135,85,10,2,1425.0
136,86,27,2,733.95
137,87,29,1,628.95
138,88,18,2,949.05
139,88,14,2,1799.0
140,88,10,2,1500.0
141,89,2,2,52000.0
142,90,29,3,569.05
143,90,3,3,32000.0
144,90,4,2,22000.0
145,91,23,1,733.95
146,91,19,1,1519.05
147,92,3,2,33600.0
148,92,9,2,5775.0
149,93,15,1,2999.0
150,94,12,2,2098.95
151,95,23,1,664.05
152,96,16,3,2499.0
153,96,6,3,4275.0
154,96,29,1,569.05
155,97,11,1,799.0
156,97,18,1,999.0
157,98,23,1,699.0
158,98,12,1,1899.05
159,98,5,2,3500.0
160,99,19,1,1599.0
161,100,27,1,699.0
162,100,10,2,1575.0
163,101,20,1,1299.0
164,101,17,3,1234.05
165,102,26,1,759.05
166,103,4,1,23100.0
167,104,13,3,1499.0
168,105,18,1,999.0
169,106,12,1,1999.0
170,106,23,1,699.0
171,107,2,2,54600.0
172,108,1,2,68250.0
173,109,22,1,4999.0
174,110,15,1,2999.0
175,110,21,1,943.95
176,111,30,1,999.0
177,111,7,2,7000.0
178,111,11,2,799.0
179,112,18,3,949.05
180,113,30,2,999.0
181,114,8,1,1890.0
182,114,21,3,943.95
183,115,1,1,65000.0
184,115,24,1,1048.95
185,115,5,1,3500.0
186,116,25,1,3999.0
187,117,27,3,699.0
188,117,15,1,3148.95
189,118,17,3,1299.0
190,118,29,2,599.0
191,118,12,1,1899.05
192,119,17,1,1363.95
193,119,12,2,1999.0
194,120,1,1,61750.0
195,121,25,1,3799.05
196,122,30,1,1048.95
197,123,24,1,999.0
198,123,19,1,1519.05
199,123,26,1,799.0
200,124,16,1,2623.95
201,124,24,2,1048.95
202,125,21,3,943.95
203,125,15,3,3148.95
204,126,26,1,759.05
205,126,11,1,759.05
206,127,11,3,799.0
207,127,2,2,54600.0
208,128,9,2,5500.0
209,128,18,2,949.05
210,129,6,1,4500.0
211,130,2,1,52000.0
212,131,4,1,23100.0
213,131,3,1,32000.0
214,132,16,1,2623.95
215,133,13,1,1499.0
216,134,1,1,65000.0
217,134,25,1,3999.0
218,134,13,3,1499.0
219,135,11,1,838.95
220,136,25,1,3799.05
221,136,12,2,2098.95
222,136,14,3,1709.05
223,137,28,1,854.05
224,137,14,1,1799.0
225,138,4,2,22000.0
226,138,9,3,5500.0
227,139,22,1,4999.0
228,140,21,2,943.95
